RANK	PLAYER	TEAM	BYE
1	Rob Gronkowski	NE	9
2	Jordan Reed	WAS	9
3	Greg Olsen	CAR	7
4	Delanie Walker	TEN	13
5	Travis Kelce	KC	5
6	Coby Fleener	NO	5
7	Tyler Eifert	CIN	9
8	Gary Barnidge	CLE	13
9	Zach Ertz	PHI	4
10	Antonio Gates	SD	11
11	Julius Thomas	JAC	5
12	Zach Miller	CHI	9
13	Martellus Bennett	NE	9
14	Jimmy Graham	SEA	5
15	Eric Ebron	DET	10
16	Jason Witten	DAL	7
17	Dwayne Allen	IND	10
18	Charles Clay	BUF	10
19	Clive Walford	OAK	10
20	Jared Cook	GB	4
21	Austin Seferian-Jenkins	TB	6
22	Jordan Cameron	MIA	8
23	Kyle Rudolph	MIN	6
24	Virgil Green	DEN	11
25	Vance McDonald	SF	8
26	Crockett Gillmore	BAL	8
27	Will Tye	NYG	8
28	Jesse James	PIT	8
29	Maxx Williams	BAL	8
30	Jace Amaro	NYJ	11
31	Ladarius Green	PIT	8
32	Cameron Brate	TB	6
33	Hunter Henry	SD	11
34	Larry Donnell	NYG	8
35	Richard Rodgers	GB	4
36	Lance Kendricks	LA	8
37	Tyler Higbee	LA	8
38	Jacob Tamme	ATL	11
39	Austin Hooper	ATL	11
40	Jeff Heuerman	DEN	11
41	MyCole Pruitt	MIN	6
42	Darren Fells	ARI	9
43	Garrett Celek	SF	8
44	Jermaine Gresham	ARI	9
45	Josh Hill	NO	5
46	Dion Sims	MIA	8
47	Mychal Rivera	OAK	10
48	Brent Celek	PHI	4
49	Ryan Griffin	HOU	9
50	Vernon Davis	WAS	9
