Staff Composite 	Player 	 Position 	 Team 	 Brandon Funston	Andy Behrens	Brad Evans	Scott Pianowski	Dalton Del Don	Liz Loza
1	Antonio Brown	WR1	PIT	1	3	1	1	1	2
2	Odell Beckham Jr.	WR2	NYG	2	4	2	2	2	3
3	Julio Jones	WR3	ATL	3	5	3	3	3	4
4	David Johnson	RB1	ARI	4	2	4	5	4	5
5	Todd Gurley	RB2	LA	5	1	7	10	5	1
6	Ezekiel Elliott	RB3	DAL	6	7	5	15	6	7
7	DeAndre Hopkins	WR4	HOU	10	11	8	6	8	9
8	A.J. Green	WR5	CIN	14	10	9	4	11	8
9	Adrian Peterson	RB4	MIN	7	6	13	11	14	6
10	Lamar Miller	RB5	HOU	8	8	6	12	12	11
11	Rob Gronkowski	TE1	NE	9	9	10	9	10	12
12	Allen Robinson	WR6	JAC	17	17	20	7	7	13
13	Brandon Marshall	WR7	NYJ	15	13	16	14	13	10
14	Le'Veon Bell	RB6	PIT	12	16	17	16	9	17
15	Keenan Allen	WR8	SD	36	12	19	8	19	15
16	Mike Evans	WR9	TB	18	19	15	21	20	18
17	Mark Ingram	RB7	NO	20	20	18	23	16	19
18	Dez Bryant	WR10	DAL	11	25	12	27	31	16
19	Sammy Watkins	WR11	BUF	22	24	11	22	27	20
20	Brandin Cooks	WR12	NO	31	18	23	13	18	24
21	Alshon Jeffery	WR13	CHI	13	26	22	18	29	22
22	Doug Martin	RB8	TB	28	14	26	28	25	14
23	C.J. Anderson	RB9	DEN	23	15	24	34	17	30
24	Eddie Lacy	RB10	GB	24	29	14	30	22	21
25	Jordy Nelson	WR14	GB	27	27	21	25	28	23
26	T.Y. Hilton	WR15	IND	38	21	31	17	23	25
27	Devonta Freeman	RB11	ATL	21	37	38	20	15	29
28	LeSean McCoy	RB12	BUF	16	30	30	26	21	38
29	Amari Cooper	WR16	OAK	34	28	32	19	30	32
30	Cam Newton	QB1	CAR	25	22	27	49	38	28
31	Aaron Rodgers	QB2	GB	29	23	28	52	35	27
32	Demaryius Thomas	WR17	DEN	33	32	34	32	33	31
33	Jamaal Charles	RB13	KC	19	41	77	24	32	26
34	Carlos Hyde	RB14	SF	26	38	37	45	37	34
35	Russell Wilson	QB3	SEA	30	33	36	54	40	33
36	Eric Decker	WR18	NYJ	40	31	39	42	43	36
37	Jeremy Hill	RB15	CIN	42	75	29	35	26	37
38	Thomas Rawls	RB16	SEA	32	42	46	43	24	60
39	Jordan Reed	TE2	WAS	35	49	41	38	36	51
40	Andrew Luck	QB4	IND	37	47	47	47	39	35
41	Latavius Murray	RB17	OAK	49	35	42	31	55	43
42	DeMarco Murray	RB18	TEN	41	45	35	51	46	42
43	Randall Cobb	WR19	GB	39	55	45	39	42	40
44	Matt Forte	RB19	NYJ	52	36	43	40	57	39
45	Donte Moncrief	WR20	IND	46	58	25	37	44	58
